"","lat","lon","NETWORKPROVIDER","Classification"
"27112",12.9299034,77.5571056,"Vodafone","satisfactory"
"36413",12.9299438,77.5574863,"Vodafone","good"
"12776",12.9462956,77.6467219,"Vodafone","satisfactory"
"32835",12.9298301,77.5573936,"Vodafone","poor"
"38322",12.9673759,77.5963383,"Vodafone","good"
"22130",12.9281468,77.5579677,"Vodafone","poor"
"10281",12.9612869,77.594335,"Vodafone","good"
"10914",12.96868376,77.60044658,"Vodafone","good"
"9159",12.9463419,77.6467666,"Vodafone","poor"
"20482",12.9411575,77.6019571,"Vodafone","good"
"42967",12.9282227,77.5581486,"Vodafone","good"
"3831",12.9463187,77.6467442,"Vodafone","good"
"25401",12.9306275,77.6022696,"Vodafone","good"
"395",12.9201522,77.684436,"Vodafone","poor"
"30536",12.9463314,77.6467778,"Vodafone","poor"
"5787",12.9311451,77.6287439,"Vodafone","poor"
"9010",12.96685548,77.61014625,"Vodafone","good"
"18861",12.9463314,77.6467778,"Vodafone","poor"
"41296",12.9472548,77.6462408,"Vodafone","good"
"32578",12.9297633,77.5576318,"Vodafone","good"
"35832",12.9280596,77.5579901,"Vodafone","good"
"26675",12.9580034,77.602941,"Vodafone","good"
"25992",12.9272631,77.5859522,"Vodafone","good"
"40448",12.9464492,77.6469344,"Vodafone","good"
"14629",12.8410295,77.6545073,"Vodafone","satisfactory"
"41382",12.9282954,77.5601395,"Vodafone","good"
